name,uniscoreavg
Federal Rural University of Pernambuco,15.4
"Federal University of Agriculture, Abeokuta",14.350000000000001
Federal University of Alagoas,17.025
Federal University of Espírito Santo,17.9625
Federal University of Goiás,15.992857142857144
Federal University of Itajubá,17.541666666666668
Federal University of Lavras,13.99375
Federal University of Mato Grosso do Sul,16.2125
Federal University of Minas Gerais,26.325
Federal University of Paraí­ba (UFPB),16.0
Federal University of Pará,15.84
Federal University of Pelotas,22.141666666666666
Federal University of Pernambuco,15.87142857142857
Federal University of Piauí,16.150000000000002
Federal University of Rio Grande do Norte (UFRN),16.87142857142857
Federal University of Rio de Janeiro,22.925
Federal University of Santa Maria,15.992857142857144
Federal University of São Carlos,16.8125
Federal University of Technology Akure,27.049999999999997
Federal University of Tocantins,16.45
Federal University of Toulouse Midi-Pyrénées,41.51428571428572
Federal University of Uberlândia,17.45
Federal University of Vales do Jequitinhonha e Mucuri,15.4
Federal University of Viçosa,13.99375
Federal University of the State of Rio de Janeiro (UNIRIO),14.350000000000001
Federation University Australia,33.050000000000004
Federico Santa María Technical University,22.275
Feng Chia University,15.09375
Ferdowsi University of Mashhad,21.285714285714285
Ferhat Abbas Sétif University 1,35.04
Financial University under the Government of the Russian Federation,36.6
Firat University,31.85
Flinders University,40.6875
Florida Agricultural and Mechanical University,29.666666666666668
Florida Atlantic University,27.116666666666664
Florida Institute of Technology,27.115
Florida International University,33.825
Florida State University,42.61875
Fluminense Federal University,14.992857142857144
Fordham University,29.7
Free University of Berlin,59.425000000000004
Free University of Bozen-Bolzano,42.792857142857144
Friedrich Schiller University Jena,52.13333333333333
Fu Jen Catholic University,19.86875
Fudan University,54.544444444444444
Fujian Agriculture and Forestry University,27.049999999999997
Fujian Normal University,21.35
Fujita Health University,35.35833333333333
Fukuoka University,15.4
Fuzhou University,28.325
"G.B. Pant University of Agriculture & Technology, Pantnagar",13.35
GITAM University,15.258333333333333
Gabriele d‘Annunzio University,34.93333333333334
Gazi University,15.992857142857144
Gaziantep University,16.2125
Gdańsk University of Technology,16.9
Gebze Technical University,20.058333333333334
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures",16.150000000000002
George Mason University,40.70625
George Washington University,47.11538461538461
Georgetown University,55.29230769230769
Georgia Health Sciences University,46.1
Georgia Institute of Technology,75.3
Georgia Southern University,23.05
Georgia State University,35.4625
German University in Cairo,18.9
Ghent University,58.20769230769231
Gheorghe Asachi Technical University of Iaşi,15.4
Gifu University,14.7625
Glasgow Caledonian University,26.91875
Goethe University Frankfurt,43.11818181818182
"Goldsmiths, University of London",42.31666666666667
Golestan University of Medical Sciences,45.95
Government College University Faisalabad,34.4
Government College University Lahore,16.425
Grand Valley State University,18.9
Graphic Era University,36.6
Graz University of Technology,32.8125
Grenoble Alpes University,44.22
Griffith University,43.237500000000004
Grigore T. Popa University of Medicine and Pharmacy,16.283333333333335
Guangdong University of Technology,31.3125
Guangxi University,18.758333333333333
Guangzhou Medical University,36.6
Guangzhou University,35.775000000000006
Gubkin Russian State University of Oil and Gas,16.2125
Gunma University,16.599999999999998
Guru Jambheshwar University of Science and Technology,26.46666666666667
Gwangju Institute of Science and Technology (GIST),35.15
Gyeongsang National University,18.483333333333334
HSE University,44.228571428571435
Hacettepe University,28.86875
Hakim Sabzevari University,20.38333333333333
Hallym University,16.87142857142857
Hamamatsu University School of Medicine,22.599999999999998
Hamburg University of Technology,36.43333333333334
Hanoi University of Science and Technology,18.4125
Hanyang University,37.44375
Harbin Engineering University,17.85
Harbin Institute of Technology,33.725
Harokopio University,42.849999999999994
Harvard University,93.73076923076923
Hasanuddin University,18.9
Hasselt University,41.81428571428571
Hazara University Mansehra,35.775000000000006
Hebrew University of Jerusalem,50.28636363636363
Heinrich Heine University Düsseldorf,49.6
Hellenic Open University,15.4
Helwan University,17.240000000000002
Heriot-Watt University,36.80625
Hiroshima University,25.81875
Hofstra University,38.63333333333333
Hokkaido University,33.81875
Hong Kong Baptist University,37.74444444444444
Hong Kong Polytechnic University,50.72222222222222
Hosei University,16.87142857142857
Howard University,39.89
Huaqiao University,19.78333333333333
Huazhong Agricultural University,31.139999999999997
Huazhong University of Science and Technology,39.875
Hue University,14.350000000000001
Humanitas University,52.75
Humboldt University of Berlin,61.92307692307692
Hunan University,31.5625
Hungarian University of Agriculture and Life Sciences,18.9
Hyogo College of Medicine,25.41
I-Shou University,13.8875
IMT Atlantique,44.35
IMT Nord Europe,27.049999999999997
IPB University,16.425
ISCTE-University Institute of Lisbon,30.085714285714285
ITMO University,36.07857142857143
Ibaraki University,15.258333333333333
Ibn Tofaïl University,21.4625
Icesi University,36.6
Ilam University of Medical Sciences,36.6
Ilia State University,21.75
Illinois Institute of Technology,45.1
Ilmenau University of Technology,26.860000000000003
Imam Abdulrahman Bin Faisal University,23.833333333333332
Imam Khomeini International University,31.75
Imam Mohammad Ibn Saud Islamic University,45.95
Immanuel Kant Baltic Federal University,18.483333333333334
Imperial College London,89.56923076923077
Incheon National University,18.9
Indian Institute of Science,41.55
Indian Institute of Science Education and Research Bhopal,24.566666666666666
