year,ticker,company_name,num_committees,over75_pct,num_meetings
2023,MKC,McCormick & Company,5.0,1.0,11.0
2023,MCD,McDonald's,10.0,1.0,13.0
2023,MCK,McKesson,9.0,1.0,11.0
2023,MDT,Medtronic,12.0,1.0,11.0
2023,MRK,Merck & Co.,19.0,1.0,13.0
2023,META,Meta Platforms,7.0,1.0,9.0
2023,MET,MetLife,12.0,1.0,14.0
2023,MTD,Mettler Toledo,4.0,1.0,8.0
2023,MGM,MGM Resorts,12.0,1.0,11.0
2023,MCHP,Microchip Technology,4.0,1.0,7.0
2023,MU,Micron Technology,7.0,1.0,8.0
2023,MSFT,Microsoft,7.0,1.0,12.0
2023,MAA,Mid-America Apartment Communities,13.0,1.0,13.0
2023,MRNA,Moderna,7.0,1.0,9.0
2023,MHK,Mohawk Industries,3.0,1.0,8.0
2023,MOH,Molina Healthcare,10.0,1.0,9.0
2023,TAP,Molson Coors Beverage Company,6.0,1.0,14.0
2023,MDLZ,Mondelez International,10.0,1.0,9.0
2023,MPWR,Monolithic Power Systems,4.0,1.0,8.0
2023,MNST,Monster Beverage,5.0,1.0,10.0
2023,MCO,Moody's Corporation,9.0,1.0,10.0
2023,MS,Morgan Stanley,9.0,1.0,14.0
2023,MOS,Mosaic Company (The),8.0,1.0,11.0
2023,MSI,Motorola Solutions,11.0,1.0,8.0
2023,MSCI,MSCI,8.0,1.0,12.0
2023,NDAQ,"Nasdaq, Inc.",11.0,1.0,11.0
2023,NTAP,NetApp,8.0,1.0,9.0
2023,NFLX,Netflix,5.0,1.0,12.0
2023,NEM,Newmont,12.0,1.0,12.0
2023,NWSA,News Corp (Class A),3.0,1.0,7.0
2023,NWS,News Corp (Class B),3.0,,
2023,NEE,NextEra Energy,7.0,1.0,12.0
2023,NKE,"Nike, Inc.",9.0,1.0,13.0
2023,NI,NiSource,14.0,1.0,12.0
2023,NDSN,Nordson Corporation,7.0,1.0,9.0
2023,NSC,Norfolk Southern Railway,11.0,1.0,13.0
2023,NTRS,Northern Trust,9.0,1.0,12.0
2023,NOC,Northrop Grumman,10.0,0.0,13.0
2023,NCLH,Norwegian Cruise Line Holdings,4.0,1.0,8.0
2023,NRG,NRG Energy,12.0,1.0,10.0
2023,NUE,Nucor,3.0,1.0,8.0
2023,NVDA,Nvidia,3.0,1.0,13.0
2023,NVR,"NVR, Inc.",8.0,1.0,10.0
2023,NXPI,NXP Semiconductors,6.0,1.0,10.0
2023,ORLY,O'Reilly Auto Parts,4.0,0.0,10.0
2023,OXY,Occidental Petroleum,16.0,1.0,10.0
2023,ODFL,Old Dominion,7.0,1.0,11.0
2023,OMC,Omnicom Group,7.0,1.0,10.0
2023,ON,ON Semiconductor,10.0,1.0,9.0
2023,OKE,ONEOK,5.0,1.0,10.0
2023,ORCL,Oracle Corporation,8.0,1.0,15.0
2023,OTIS,Otis Worldwide,3.0,1.0,10.0
2023,PCAR,Paccar,5.0,1.0,12.0
2023,PKG,Packaging Corporation of America,5.0,1.0,10.0
2023,PANW,Palo Alto Networks,7.0,1.0,10.0
2023,PARA,Paramount Global,3.0,1.0,11.0
2023,PH,Parker Hannifin,7.0,1.0,13.0
2023,PAYX,Paychex,8.0,1.0,12.0
2023,PAYC,Paycom,3.0,1.0,8.0
2023,PYPL,PayPal,4.0,1.0,12.0
2023,PNR,Pentair,7.0,1.0,9.0
2023,PEP,PepsiCo,6.0,1.0,15.0
2023,PFE,Pfizer,8.0,1.0,12.0
2023,PCG,PG&E Corporation,14.0,1.0,14.0
2023,PM,Philip Morris International,7.0,1.0,12.0
2023,PSX,Phillips 66,6.0,1.0,13.0
2023,PNW,Pinnacle West,7.0,1.0,11.0
2023,PXD,Pioneer Natural Resources,7.0,1.0,12.0
2023,PNC,PNC Financial Services,13.0,1.0,13.0
2023,POOL,Pool Corporation,6.0,1.0,9.0
2023,PPG,PPG Industries,8.0,1.0,12.0
2023,PPL,PPL Corporation,18.0,1.0,10.0
2023,PFG,Principal Financial Group,9.0,1.0,12.0
2023,PG,Procter & Gamble,19.0,1.0,14.0
2023,PGR,Progressive Corporation,8.0,1.0,12.0
2023,PLD,Prologis,7.0,1.0,11.0
2023,PRU,Prudential Financial,9.0,1.0,9.0
2023,PEG,Public Service Enterprise Group,10.0,1.0,10.0
2023,PTC,PTC,12.0,1.0,9.0
2023,PSA,Public Storage,6.0,1.0,13.0
2023,PHM,PulteGroup,8.0,1.0,10.0
2023,QRVO,Qorvo,4.0,1.0,9.0
2023,PWR,Quanta Services,9.0,1.0,10.0
2023,QCOM,Qualcomm,9.0,1.0,12.0
2023,DGX,Quest Diagnostics,9.0,1.0,10.0
2023,RL,Ralph Lauren Corporation,8.0,0.0,13.0
2023,RJF,Raymond James,12.0,1.0,10.0
2023,RTX,RTX Corporation,12.0,1.0,13.0
2023,O,Realty Income,7.0,1.0,11.0
2023,REG,Regency Centers,8.0,1.0,11.0
2023,REGN,Regeneron,5.0,1.0,12.0
2023,RF,Regions Financial Corporation,7.0,1.0,13.0
2023,RSG,Republic Services,10.0,1.0,11.0
2023,RMD,ResMed,8.0,1.0,10.0
2023,RVTY,Revvity (Previously PerkinElmer),9.0,1.0,9.0
2023,RHI,Robert Half,7.0,1.0,8.0
2023,ROK,Rockwell Automation,11.0,1.0,11.0
2023,ROL,"Rollins, Inc.",7.0,1.0,11.0
2023,ROP,Roper Technologies,5.0,1.0,9.0
2023,ROST,Ross Stores,4.0,1.0,11.0
2023,RCL,Royal Caribbean Group,10.0,1.0,14.0
2023,SPGI,S&P Global,7.0,1.0,13.0
2023,CRM,Salesforce,9.0,1.0,13.0
2023,SBAC,SBA Communications,5.0,1.0,9.0
2023,SLB,Schlumberger,8.0,1.0,11.0
2023,STX,Seagate Technology,7.0,1.0,11.0
2023,SRE,Sempra Energy,13.0,1.0,9.0
2023,NOW,ServiceNow,3.0,1.0,11.0
