ticker,spindex,num_committees,dirs,over75_pct,num_meetings,avg_meetings
OMCL,S&P 600,5.0,27.0,1.0,9.0,1.8
ON,S&P 500,10.0,28.0,1.0,9.0,0.9
OKE,S&P 500,5.0,27.0,1.0,10.0,2.0
OSPN,S&P 600,5.0,16.0,1.0,8.0,1.6
ONTO,S&P 400,6.0,24.0,1.0,8.0,1.3333333333333333
ORCL,S&P 500,8.0,18.0,1.0,15.0,1.875
OPRX,,4.0,7.0,,,
OPCH,S&P 400,12.0,36.0,1.0,10.0,0.8333333333333334
OSUR,S&P 600,5.0,24.0,1.0,6.0,1.2
ORGO,,3.0,13.0,,,
OGN,S&P 600,4.0,20.0,1.0,13.0,3.25
ONL,S&P 600,3.0,4.0,1.0,5.0,1.6666666666666667
ORA,S&P 400,5.0,26.0,1.0,9.0,1.8
OFIX,S&P 600,10.0,34.0,1.0,9.0,0.9
OSK,S&P 400,13.0,43.0,1.0,10.0,0.7692307692307693
OTIS,S&P 500,3.0,10.0,1.0,10.0,3.3333333333333335
OTTR,S&P 600,5.0,22.0,1.0,10.0,2.0
OVV,S&P 400,8.0,36.0,0.0,12.0,1.5
OMI,S&P 600,12.0,57.0,1.0,9.0,0.75
OC,S&P 400,6.0,38.0,1.0,10.0,1.6666666666666667
OXM,S&P 600,5.0,21.0,1.0,11.0,2.2
PBF,S&P 400,4.0,20.0,1.0,10.0,2.5
CNXN,S&P 600,3.0,9.0,1.0,6.0,2.0
,S&P 400,776.0,17673.0,1.0,53.0,0.06829896907216494
PDFS,S&P 600,8.0,16.0,1.0,7.0,0.875
PCG,S&P 500,14.0,54.0,1.0,14.0,1.0
PGTI,S&P 600,5.0,11.0,1.0,10.0,2.0
PJT,S&P 600,3.0,7.0,1.0,7.0,2.3333333333333335
PNC,S&P 500,13.0,43.0,1.0,13.0,1.0
PNM,S&P 400,10.0,23.0,1.0,9.0,0.9
PPG,S&P 500,8.0,24.0,1.0,12.0,1.5
PPL,S&P 500,18.0,47.0,1.0,10.0,0.5555555555555556
PRAA,S&P 600,5.0,17.0,1.0,10.0,2.0
PVH,S&P 400,8.0,28.0,1.0,10.0,1.25
