ticker,roa
ACIA,0.1399538523439232
ACIC,-0.100439649193938
ACII,0.04264183310868754
ACIS,0.2785821098423056
ACIT,-0.05404722818537694
ACIW,0.09328783926043573
ACK,0.06007604083253987
ACL,-0.02384799877528109
ACLA,-0.1489191156824438
ACLB,0.1755530477530261
ACLI,0.1462249859001008
ACLP,
ACLR,-0.8946904032802201
ACLS,0.2477907025835107
ACLV,0.1037428366762178
ACLX,-0.4066873513615674
ACLY,-0.1650539019095625
ACM,0.08606823857258616
ACME,-0.01563975501614339
ACMI,-0.4192611711566381
ACMM,0.009289363678588018
ACMR,0.07827176046856163
ACMS,0.2173853351498062
ACMT,0.09648010714176296
ACMTA,0.0380637248346509
ACN,0.1207798969140657
ACNB,0.02188953060464633
ACND,-0.01211133182931173
ACNS,
