ticker,company_name,female_pct,diversity_board,shannon
CDW,CDW,0.4,False,0.8979457248567798
CE,Celanese,0.5,False,0.3250829733914482
COR,Cencora,0.3,True,0.639031859650177
CNC,Centene Corporation,0.3,True,0.5004024235381879
CNP,CenterPoint Energy,0.2222222222222222,True,0.936888307539016
CF,CF Industries,0.2727272727272727,True,0.8855741515766717
CHRW,CH Robinson,0.2727272727272727,False,0.30463609734923813
CRL,Charles River Laboratories,0.2727272727272727,False,0.30463609734923813
SCHW,Charles Schwab Corporation,0.29411764705882354,False,0.5783252866601273
CHTR,Charter Communications,0.07692307692307693,False,0.7937300551584248
CVX,Chevron Corporation,0.5,True,0.7214636866925115
CMG,Chipotle Mexican Grill,0.3333333333333333,False,0.6837389058487535
CB,Chubb Limited,0.3076923076923077,False,0.0
