ticker,spindex
HE,S&P 400
HA,S&P 600
HWKN,S&P 600
HAYN,S&P 600
HAYW,S&P 600
HCSG,S&P 600
HSTM,S&P 600
HQY,S&P 400
HR,S&P 400
HTLD,S&P 600
PEAK,S&P 500
HSII,S&P 600
HLX,S&P 600
HP,S&P 600
JKHY,S&P 500
HFWA,S&P 600
HT,
HSY,S&P 500
,S&P 600
HTZ,S&P 400
HES,S&P 500
HPE,S&P 500
HXL,S&P 400
HIBB,S&P 600
HIW,S&P 600
HI,S&P 600
HTH,S&P 600
HGV,S&P 400
HLT,S&P 500
HOLX,S&P 500
HOMB,S&P 400
HD,S&P 500
HMST,S&P 600
HON,S&P 500
HOPE,S&P 600
HRL,S&P 500
HMN,S&P 600
HST,S&P 500
TWNK,S&P 600
HLI,S&P 400
HWM,S&P 500
HUBG,S&P 600
HUBB,S&P 500
HPP,S&P 600
HUM,S&P 500
JBHT,S&P 500
HBAN,S&P 500
HII,S&P 500
H,S&P 400
ICUI,S&P 600
IPGP,S&P 400
ITT,S&P 400
IDA,S&P 400
IRT,S&P 400
IEX,S&P 500
IDXX,S&P 500
ITW,S&P 500
ILMN,S&P 500
NARI,S&P 400
INCY,S&P 500
INDB,S&P 600
IBTX,S&P 600
ILPT,
IR,S&P 500
NGVT,S&P 600
INGR,S&P 400
NSIT,S&P 600
IOSP,S&P 600
IIIN,S&P 600
NSP,S&P 400
IBP,S&P 600
INVA,S&P 600
IIPR,S&P 600
PODD,S&P 500
IART,S&P 400
INTC,S&P 500
ITGR,S&P 600
IPAR,S&P 600
IBKR,S&P 400
TILE,S&P 600
ICE,S&P 500
IDCC,S&P 600
IBOC,S&P 400
IBM,S&P 500
IFF,S&P 500
IP,S&P 500
IPG,S&P 500
INTU,S&P 500
ISRG,S&P 500
IVR,S&P 600
INVH,S&P 500
IQV,S&P 500
IRDM,S&P 400
ITOS,S&P 600
IRBT,S&P 600
IRM,S&P 500
IRWD,S&P 600
ITRI,S&P 600
JBGS,S&P 600
JJSF,S&P 600
JPM,S&P 500
JBL,S&P 500
JACK,S&P 600
JXN,S&P 600
J,S&P 500
JEF,S&P 400
JBLU,S&P 600
JBT,S&P 600
JNJ,S&P 500
JYNT,
JLL,S&P 400
ZD,S&P 400
JNPR,S&P 500
KAR,S&P 600
KBR,S&P 400
KLAC,S&P 500
KREF,S&P 600
KALU,S&P 600
KAMN,S&P 600
KBH,S&P 400
K,S&P 500
KELYA,S&P 600
KMPR,S&P 400
KMT,S&P 600
KW,S&P 600
KDP,S&P 500
KEY,S&P 500
KEYS,S&P 500
