ticker,roa,roe
ABR,0.1235815602836879,0.03310783923597294
ABRI,-0.005608483973802716,-0.00840284717831576
ABRS,-0.6508377255624108,-1.9363862123770736
ABRX,0.3137477988576039,0.2005307050796058
ABS,0.1318335083743298,0.08303378864126527
ABSB,0.1217262596336315,0.2648619023948814
ABSC,4.015231110010792e-05,0.02143449735362597
ABSI,-0.2525967566567192,-0.4103101542053689
ABSO,-0.1946481665014868,-0.9400355389573233
ABT,0.1491700739216376,0.1598446719590198
ABTC,0.1679550137096649,0.1107669910246462
ABTE,-0.001525526116283323,-1.0972955811469964
ABTG,-6.957612456747406,
ABTI,-0.4258197494665641,-1.3204699291994086
ABTL,0.09842866675899928,0.04397573511415685
ABTX,-0.0475027198101078,-0.2376092387754891
ABUD,0.1804499833515673,0.1389554453514318
