ticker,directorid,rolename
ADPT,334713.0,President/CEO/Principal Executive Officer
ADPTQ,206768.0,Chairman/Interim CEO
ADRAU,603557.0,Chairman/CEO
ADRX,181194.0,President/CEO
ADRX,181233.0,CEO
ADSK,32800.0,Chairman/CEO
ADSK,32800.0,Chairman/President/CEO
ADSK,207884.0,President/CEO
ADSK,207884.0,President/CEO/Interim CFO
ADSK,542274.0,Senior VP/Chief Product Officer/Interim Co-CEO
ADSK,1203207.0,President/CEO
ADSK,1203207.0,President/CEO/Interim CFO
ADSK,1203207.0,Senior VP/Chief Marketing Officer/Interim Co-CEO
ADST,445713.0,President/CEO
ADT,536302.0,Chairman/President/CEO
ADT,536302.0,President/CEO
ADTN,204208.0,CEO
ADTN,204208.0,Chairman/CEO
ADTN,204208.0,Chairman/President/CEO
ADTN,204208.0,Interim Chairman/CEO
ADUS,207331.0,Chairman/CEO
ADUS,207331.0,President/CEO
ADV,546045.0,CEO
ADVBQ,31158.0,CEO
ADVBQ,31158.0,Vice Chairman/CEO
ADVM,452888.0,CEO
ADVM,452888.0,CEO/CFO
ADVM,452888.0,President/CEO
ADVM,452888.0,President/CEO/CFO
ADVM,452888.0,Senior VP/CFO/Interim President/CEO
ADVM,1451165.0,Interim President/Interim CEO
ADVM,1695676.0,President/CEO
ADVNQ,31158.0,CEO
ADVNQ,31158.0,Vice Chairman/CEO
ADVS,85342.0,CEO
ADVS,85342.0,CEO/CFO
ADVS,85342.0,Chairman/President/Interim CEO
ADVS,85342.0,President/CEO
ADVS,85342.0,President/CEO/Interim CFO
ADVS,202273.0,President/CEO
ADVS,334345.0,President/CEO
ADVS,334345.0,President/CEO Designate
ADW.A,1059164.0,Chairman/CEO
ADW.A,1059164.0,Chairman/President/CEO
ADW.A,1059164.0,President/CEO
ADW.A,1059165.0,CEO
ADW.A,1059165.0,President/CEO
ADW.B,1059164.0,Chairman/CEO
ADW.B,1059164.0,Chairman/President/CEO
ADW.B,1059164.0,President/CEO
ADW.B,1059165.0,CEO
ADW.B,1059165.0,President/CEO
ADX,181194.0,President/CEO
ADX,181233.0,CEO
ADX,183326.0,Chairman/CEO
ADX,183335.0,Chairman/CEO
ADX,183335.0,Chairman/President/CEO
ADX,1324133.0,CEO
ADZA,349373.0,President/CEO/Secretary
AE,347847.0,President/CEO/COO
AE,1356299.0,Chairman/President/CEO
AE,1356299.0,Chairman/President/CEO/COO
AE,1356299.0,President/CEO
AE,1597922.0,President/CEO
AE4,51707.0,Chairman/President/CEO
AE4,51707.0,Division Chairman/President/CEO
AE4,51707.0,President/CEO
AE4,51757.0,Division Chairman/President/CEO
AE4,52492.0,Chairman/President/CEO
AE4,52502.0,Chairman/President/CEO
AE4,52502.0,President/CEO
AE4,52597.0,Chairman/CEO
AE4,52597.0,Chairman/President/CEO
AE4,52597.0,President/CEO
AEC1,9108.0,Regional CEO
AEC1,17012.0,Division Chairman/CEO
AEC1,32536.0,Chairman/CEO
AEC1,32557.0,CEO
AEC1,32557.0,Chairman/CEO
AEC1,33668.0,Chairman/CEO
AEC1,33668.0,President/CEO
AEC1,444702.0,Division Chairman/CEO
AEC1,455385.0,Chairman/CEO
AEC1,542394.0,Division President/CEO
AEC1,542396.0,Division President/CEO
AEC1,1633919.0,Division CEO
AEE,51707.0,Chairman/President/CEO
AEE,51707.0,Division Chairman/President/CEO
AEE,51707.0,President/CEO
AEE,51757.0,Division Chairman/President/CEO
AEE,52492.0,Chairman/President/CEO
AEE,52502.0,Chairman/President/CEO
AEE,52502.0,President/CEO
AEE,52597.0,Chairman/CEO
AEE,52597.0,Chairman/President/CEO
AEE,52597.0,President/CEO
AEF,1124858.0,COO/CFO/Interim CEO
AEF,1124858.0,COO/Interim CEO
AEF.A,1124858.0,COO/CFO/Interim CEO
AEF.A,1124858.0,COO/Interim CEO
AEG,2124041.0,Interim President/Interim CEO
AEG,2124041.0,President/CEO
AEGN,329313.0,President/CEO
AEGN,329319.0,Chairman/Interim CEO
AEGN,329323.0,Chairman/CEO
AEGN,329323.0,Chairman/President/CEO
AEGN,329323.0,President/CEO
AEGN,895862.0,Interim CEO
AEGN,895862.0,President/CEO
AEGR,335969.0,Interim CEO
AEIS,200964.0,CEO
AEIS,200964.0,President/CEO
AEIS,544257.0,CEO
AEIS,544257.0,President/CEO
AEL,338159.0,Chairman/CEO
AEL,338159.0,Chairman/President/CEO
AEL,338159.0,Vice Chairman/CFO/Interim President/Interim CEO
AEL,338159.0,Vice Chairman/President/CEO
AEL,338183.0,President/CEO
AEM,343128.0,President/CEO
AEM,343128.0,Vice Chairman/CEO
AEM,343128.0,Vice Chairman/President/CEO
AEM,1085522.0,President/CEO
AEMD,374338.0,Interim CEO/CFO
AEMD,503712.0,CEO
AEMI,449868.0,Chairman/President/CEO
AEMI,449868.0,President/CEO
AEMI,501128.0,President/CEO
AEN,220273.0,Chairman/President/CEO
AEN,606095.0,President/CEO/CFO
AEO,141339.0,Chairman/CEO
AEO,141339.0,Chairman (Executive)/CEO
AEO,141339.0,Chairman/Interim CEO
AEO,141344.0,President/Co-CEO
AEO,141347.0,CEO
AEO,141347.0,Co-CEO
AEP,533555.0,Chairman/CEO
AEP,533555.0,Chairman/President/CEO
AEP,533555.0,President/CEO
AEP,594901.0,Chair/President/CEO
AEP,594901.0,President/CEO
AERT,347572.0,Chairman/CEO
AERT,347572.0,Chairman/Co-CEO
AERT,347572.0,Chairman/President/CEO
AERT,347572.0,Chairman/President/Co-CEO
AERT,347574.0,CEO
AERT,347574.0,Co-CEO
AES,48991.0,Division CEO/Division Chief Investment Officer
AES,71147.0,President/CEO
AES,71237.0,President/CEO
AES,452889.0,President/CEO
AES,487255.0,Regional President/CEO
AES,1339612.0,Division Chairman/CEO
AES,1368938.0,Regional CEO
AES,1591867.0,Division CEO
AET,26533.0,Chairman/CEO
AET,26533.0,Chairman/President/CEO
AET,26533.0,President/CEO
AET,485804.0,Chairman/CEO
AET,485804.0,Chairman/President/CEO
AET,485804.0,President/CEO
AET,1288147.0,Division President/CEO
AET,1786803.0,Division President/CEO
AETI,38171.0,Chairman/CEO
AETI,346412.0,President/CEO
AETI,346413.0,Interim President/CEO
AETI,535474.0,President/CEO
AET.UN,730626.0,CEO
AET.UN,730626.0,President/CEO
