ticker,company_name,num_committees,dirs,over75_pct,num_meetings,avg_meetings
FICO,Fair Isaac,6.0,27.0,1.0,8.0,1.3333333333333333
FAST,Fastenal,6.0,17.0,1.0,10.0,1.6666666666666667
FRT,Federal Realty,5.0,14.0,1.0,7.0,1.4
FDX,FedEx,9.0,33.0,1.0,13.0,1.4444444444444444
FIS,Fidelity National Information Services,11.0,39.0,1.0,12.0,1.0909090909090908
FITB,Fifth Third Bank,12.0,38.0,1.0,14.0,1.1666666666666667
FSLR,First Solar,5.0,17.0,1.0,12.0,2.4
FE,FirstEnergy,12.0,60.0,1.0,11.0,0.9166666666666666
FI,Fiserv,7.0,22.0,1.0,8.0,1.1428571428571428
FLT,Fleetcor,8.0,24.0,1.0,11.0,1.375
FMC,FMC Corporation,7.0,29.0,1.0,10.0,1.4285714285714286
F,Ford Motor Company,14.0,41.0,1.0,14.0,1.0
FTNT,Fortinet,6.0,16.0,1.0,8.0,1.3333333333333333
FTV,Fortive,4.0,13.0,1.0,9.0,2.25
FOXA,Fox Corporation (Class A),3.0,8.0,1.0,7.0,2.3333333333333335
FOX,Fox Corporation (Class B),4.0,14.0,,,
BEN,Franklin Templeton,5.0,24.0,1.0,11.0,2.2
FCX,Freeport-McMoRan,9.0,32.0,1.0,12.0,1.3333333333333333
GRMN,Garmin,4.0,9.0,1.0,6.0,1.5
IT,Gartner,7.0,34.0,1.0,12.0,1.7142857142857142
GEHC,GE HealthCare,3.0,8.0,1.0,10.0,3.3333333333333335
GEN,Gen Digital,8.0,49.0,1.0,10.0,1.25
GNRC,Generac,4.0,18.0,1.0,11.0,2.75
GD,General Dynamics,10.0,32.0,1.0,13.0,1.3
GE,General Electric,14.0,52.0,1.0,10.0,0.7142857142857143
GIS,General Mills,11.0,55.0,1.0,11.0,1.0
GM,General Motors,12.0,28.0,1.0,13.0,1.0833333333333333
GPC,Genuine Parts Company,6.0,27.0,1.0,13.0,2.1666666666666665
GILD,Gilead Sciences,7.0,22.0,1.0,9.0,1.2857142857142858
GPN,Global Payments,7.0,25.0,1.0,11.0,1.5714285714285714
GL,Globe Life,6.0,27.0,1.0,12.0,2.0
GS,Goldman Sachs,7.0,43.0,1.0,12.0,1.7142857142857142
HAL,Halliburton,5.0,34.0,1.0,13.0,2.6
HIG,Hartford (The),9.0,31.0,1.0,11.0,1.2222222222222223
HAS,Hasbro,10.0,32.0,1.0,11.0,1.1
HCA,HCA Healthcare,9.0,35.0,1.0,10.0,1.1111111111111112
PEAK,Healthpeak,11.0,24.0,1.0,8.0,0.7272727272727273
HSIC,Henry Schein,7.0,26.0,1.0,14.0,2.0
HSY,Hershey's,7.0,40.0,1.0,11.0,1.5714285714285714
HES,Hess Corporation,9.0,35.0,1.0,12.0,1.3333333333333333
HPE,Hewlett Packard Enterprise,5.0,20.0,1.0,12.0,2.4
HLT,Hilton Worldwide,7.0,24.0,1.0,10.0,1.4285714285714286
HOLX,Hologic,8.0,25.0,1.0,9.0,1.125
HD,Home Depot (The),10.0,41.0,1.0,13.0,1.3
HON,Honeywell,5.0,29.0,1.0,11.0,2.2
HRL,Hormel Foods,9.0,35.0,1.0,11.0,1.2222222222222223
HST,Host Hotels & Resorts,5.0,19.0,1.0,9.0,1.8
HWM,Howmet Aerospace,11.0,41.0,1.0,9.0,0.8181818181818182
HPQ,HP Inc.,12.0,55.0,1.0,13.0,1.0833333333333333
HUBB,Hubbell Incorporated,5.0,26.0,1.0,10.0,2.0
HUM,Humana,14.0,34.0,1.0,12.0,0.8571428571428571
HBAN,Huntington Bancshares,16.0,43.0,1.0,13.0,0.8125
HII,Huntington Ingalls Industries,6.0,18.0,1.0,11.0,1.8333333333333333
IBM,IBM,4.0,41.0,1.0,12.0,3.0
IEX,IDEX Corporation,5.0,23.0,1.0,10.0,2.0
IDXX,Idexx Laboratories,7.0,24.0,1.0,10.0,1.4285714285714286
ITW,Illinois Tool Works,5.0,26.0,1.0,10.0,2.0
ILMN,Illumina,5.0,21.0,1.0,12.0,2.4
INCY,Incyte,9.0,19.0,1.0,9.0,1.0
IR,Ingersoll Rand,12.0,42.0,1.0,10.0,0.8333333333333334
PODD,Insulet,5.0,22.0,1.0,9.0,1.8
INTC,Intel,11.0,35.0,1.0,12.0,1.0909090909090908
ICE,Intercontinental Exchange,8.0,31.0,1.0,10.0,1.25
IFF,International Flavors & Fragrances,10.0,38.0,1.0,11.0,1.1
IP,International Paper,6.0,44.0,1.0,11.0,1.8333333333333333
IPG,Interpublic Group of Companies (The),9.0,22.0,1.0,9.0,1.0
INTU,Intuit,8.0,23.0,1.0,9.0,1.125
ISRG,Intuitive Surgical,3.0,22.0,1.0,11.0,3.6666666666666665
